round,engine,compile_ms,match_ms,subjects,matches
0,RE2,0.031111,28.790917,1000,500
0,PCRE2,0.003823,39.149542,1000,500
1,PCRE2,0.002475,39.026750,1000,500
1,RE2,0.027954,28.690958,1000,500
2,RE2,0.028127,28.726667,1000,500
2,PCRE2,0.002429,38.950250,1000,500
3,PCRE2,0.002420,39.400500,1000,500
3,RE2,0.027655,28.738209,1000,500
4,RE2,0.027882,28.700083,1000,500
4,PCRE2,0.002485,38.586209,1000,500
5,PCRE2,0.002409,38.971291,1000,500
5,RE2,0.028135,28.662667,1000,500
6,RE2,0.027852,28.684375,1000,500
6,PCRE2,0.002415,39.087916,1000,500
7,PCRE2,0.002427,38.357292,1000,500
7,RE2,0.027728,28.729083,1000,500
8,RE2,0.026723,28.818250,1000,500
8,PCRE2,0.002743,37.118583,1000,500
9,PCRE2,0.002465,37.099750,1000,500
9,RE2,0.026788,28.692917,1000,500
