round,engine,compile_ms,match_ms,subjects,matches
0,RE2,0.028393,28.751000,1000,500
0,PCRE2,0.018402,5.544083,1000,500
1,PCRE2,0.014023,5.370958,1000,500
1,RE2,0.026403,28.818167,1000,500
2,RE2,0.026543,28.807166,1000,500
2,PCRE2,0.014174,5.210000,1000,500
3,PCRE2,0.014049,5.463250,1000,500
3,RE2,0.028095,28.818375,1000,500
4,RE2,0.026895,28.726000,1000,500
4,PCRE2,0.015985,5.294625,1000,500
5,PCRE2,0.014655,5.191708,1000,500
5,RE2,0.027650,28.742375,1000,500
6,RE2,0.026768,28.762666,1000,500
6,PCRE2,0.014655,5.389042,1000,500
7,PCRE2,0.014732,5.210292,1000,500
7,RE2,0.027048,28.752958,1000,500
8,RE2,0.027214,28.692208,1000,500
8,PCRE2,0.014501,5.281083,1000,500
9,PCRE2,0.014514,5.185209,1000,500
9,RE2,0.026983,28.709667,1000,500
