round,engine,compile_ms,match_ms,subjects,matches
0,RE2,0.028276,28.597041,1000,500
0,PCRE2,0.003779,38.690250,1000,500
1,PCRE2,0.002840,38.535958,1000,500
1,RE2,0.031043,28.621250,1000,500
2,RE2,0.028020,28.679917,1000,500
2,PCRE2,0.002648,38.110208,1000,500
3,PCRE2,0.002774,37.817667,1000,500
3,RE2,0.029827,28.735167,1000,500
4,RE2,0.028523,28.703292,1000,500
4,PCRE2,0.002620,37.863084,1000,500
5,PCRE2,0.002868,38.027959,1000,500
5,RE2,0.027380,28.553208,1000,500
6,RE2,0.026154,28.582708,1000,500
6,PCRE2,0.002889,38.186792,1000,500
7,PCRE2,0.002785,38.197750,1000,500
7,RE2,0.029075,28.545250,1000,500
8,RE2,0.027753,28.541500,1000,500
8,PCRE2,0.002588,38.273833,1000,500
9,PCRE2,0.002590,38.100792,1000,500
9,RE2,0.029274,28.564875,1000,500
